,Palabras,Who_palabras,Who,Why_palabras,Why,Where_palabras,Where,When_palabras,When,What_palabras,What,How_palabras,How,Whom_palabras,Whom
48,7,whom,0.5226056575775146,also,0.4412473142147064,in,0.48676609992980957,subsequently,0.5036075115203857,that,0.5134297609329224,whom,0.5226056575775146,who,0.5067553520202637
49,8,whom,0.4748213291168213,in.,0.4514120817184448,into,0.5288388729095459,then,0.5438396334648132,down,0.4548639953136444,whom,0.4748213291168213,who,0.4893389940261841
50,9,could,0.4620833396911621,should,0.5954916477203369,could,0.49471569061279297,could,0.5439472198486328,could,0.5694185495376587,could,0.4620833396911621,who,0.4508052468299866
51,</s>,whom,0.5559356212615967,That,0.6026639342308044,which,0.5701812505722046,When,0.6238563656806946,That,0.6584426164627075,whom,0.5559356212615967,Moreover,0.5428907871246338
52,A,whom,0.5222062468528748,various,0.5054352879524231,various,0.5592113733291626,then,0.5051919221878052,various,0.5321924686431885,whom,0.5222062468528748,who,0.5000841617584229
53,A.,whom,0.5104985237121582,additionally,0.5201109647750854,which,0.47847840189933777,subsequently,0.574387788772583,that,0.5227108001708984,whom,0.5104985237121582,who,0.5565007925033569
54,AP,three,0.6120874881744385,three,0.6464160680770874,three,0.6187093257904053,three,0.6136317253112793,three,0.6775022745132446,three,0.6120874881744385,three,0.5637902617454529
55,AP_Photo,following,0.4853735566139221,following,0.5565733909606934,before,0.5796443819999695,before,0.6546354293823242,before,0.6237594485282898,following,0.4853735566139221,subsequently,0.4839124083518982
56,About,second,0.5178624391555786,second,0.5557664632797241,second,0.5469787120819092,second,0.5762491226196289,second,0.5716264843940735,second,0.5178624391555786,second,0.46633780002593994
57,According,She,0.5644979476928711,She,0.5774071216583252,She,0.5695463418960571,She,0.5616490840911865,She,0.6135029196739197,She,0.5644979476928711,who,0.5729156732559204
58,Act,whom,0.5342616438865662,did,0.5204664468765259,elsewhere,0.496388703584671,if,0.5782610177993774,exactly,0.5818158984184265,whom,0.5342616438865662,who,0.5630571842193604
59,Afghan,whom,0.5273805260658264,when,0.447892963886261,in,0.4891110360622406,before,0.5370487570762634,how,0.48133835196495056,whom,0.5273805260658264,who,0.5384920239448547
60,Afghanistan,whom,0.47425100207328796,more,0.5546863079071045,more,0.4907771050930023,more,0.4842691719532013,more,0.6026344299316406,whom,0.47425100207328796,who,0.45499569177627563
61,Africa,whom,0.5433177947998047,then,0.5074641108512878,in,0.5084511041641235,When,0.5435064435005188,how,0.5197790265083313,whom,0.5433177947998047,who,0.566787600517273
62,African,They,0.5835568308830261,They,0.578338623046875,They,0.5864421129226685,When,0.6159653663635254,They,0.6147564649581909,They,0.5835568308830261,They,0.5549294352531433
63,After,whom,0.4488767981529236,past,0.4488176107406616,in,0.5155066251754761,after,0.5127512812614441,past,0.43847864866256714,whom,0.4488767981529236,Over,0.43477508425712585
64,Alabama,earlier,0.5222044587135315,earlier,0.6073679327964783,in,0.5554269552230835,earlier,0.6073522567749023,earlier,0.5940650105476379,earlier,0.5222044587135315,Last,0.5117607712745667
65,All,newly,0.5047233700752258,newly,0.45484328269958496,newly,0.46806496381759644,newly,0.529820442199707,thenew,0.49660801887512207,newly,0.5047233700752258,newly,0.4785337746143341
66,Allen,whom,0.5480198264122009,various,0.5151713490486145,various,0.539864182472229,various,0.45428672432899475,various,0.5666933059692383,whom,0.5480198264122009,others,0.4713842272758484
67,Also,herself,0.5044605731964111,she,0.5694505572319031,she,0.5135066509246826,she,0.5388885736465454,she,0.6092584133148193,herself,0.5044605731964111,herself,0.49174895882606506
68,Although,whom,0.5130273103713989,others,0.45876389741897583,in,0.44269734621047974,before,0.4139249324798584,others,0.46752601861953735,whom,0.5130273103713989,others,0.5110571384429932
69,America,intothe,0.4222794771194458,intothe,0.4798097610473633,intothe,0.5363240242004395,intothe,0.5172529816627502,intothe,0.5208445191383362,intothe,0.4222794771194458,who,0.41407549381256104
70,American,Subsequently,0.46450576186180115,Subsequently,0.4822796583175659,in,0.5942296981811523,Subsequently,0.5414292812347412,in,0.4398386776447296,Subsequently,0.46450576186180115,Subsequently,0.5144712924957275
71,Americans,whom,0.4564819037914276,we,0.44818413257598877,in,0.46327444911003113,their,0.44120925664901733,we,0.5121108293533325,whom,0.4564819037914276,their,0.42125532031059265
72,Among,whom,0.46309542655944824,no,0.46953636407852173,in,0.45382004976272583,then,0.4480673372745514,no,0.5322173833847046,whom,0.46309542655944824,who,0.47956228256225586
73,An,An,0.530044436454773,An,0.5466997623443604,An,0.4829845130443573,An,0.5101209878921509,An,0.5825351476669312,An,0.530044436454773,An,0.48893576860427856
74,And,She,0.5764621496200562,She,0.5534191131591797,She,0.5657864212989807,She,0.5467557907104492,her,0.5782802104949951,She,0.5764621496200562,She,0.5555486679077148
75,Anderson,would,0.49203670024871826,might,0.6050899028778076,might,0.49923455715179443,might,0.5294302701950073,might,0.6420855522155762,would,0.49203670024871826,would,0.4856039583683014
76,Andrew,whom,0.47773388028144836,so,0.4713830053806305,in,0.5343775749206543,before,0.5789070725440979,exactly,0.5808819532394409,whom,0.47773388028144836,who,0.5775404572486877
77,Another,whom,0.5102335810661316,months,0.5204618573188782,decades,0.4857124090194702,months,0.5483177900314331,decades,0.5793748497962952,whom,0.5102335810661316,decades,0.4978206753730774
78,Anthony,whom,0.4748838245868683,many,0.5637335777282715,elsewhere,0.5190277695655823,many,0.4314309358596802,many,0.5519057512283325,whom,0.4748838245868683,who,0.48618558049201965
79,Any,United_States,0.4651380777359009,United_States,0.4845413565635681,United_States,0.48535650968551636,United_States,0.43417203426361084,United_States,0.5149142742156982,United_States,0.4651380777359009,United_States,0.4644121825695038
80,Apple,seven,0.6303452849388123,four,0.6536895036697388,four,0.6191516518592834,four,0.6221195459365845,four,0.677935779094696,seven,0.6303452849388123,four,0.5827327966690063
81,April,milion,0.5128229260444641,milion,0.578809916973114,billion,0.4987998604774475,billion,0.5074132680892944,billion,0.6279988884925842,milion,0.5128229260444641,milion,0.5170506238937378
82,Arab,whom,0.5927128195762634,they,0.505041778087616,they,0.4759446382522583,then,0.5648340582847595,they,0.5777220129966736,whom,0.5927128195762634,who,0.5416185855865479
83,Arizona,whom,0.5781388282775879,how,0.6316351294517517,how,0.5038740038871765,how,0.5197790265083313,exactly,0.6425078511238098,whom,0.5781388282775879,who,0.6098765134811401
84,Army,However,0.6467376351356506,However,0.6787108182907104,However,0.6270540952682495,When,0.6650725603103638,However,0.677086591720581,However,0.6467376351356506,However,0.6682044267654419
85,As,whom,0.5839087963104248,how,0.5364644527435303,but,0.49295908212661743,then,0.5711580514907837,how,0.6469132304191589,whom,0.5839087963104248,who,0.5757812261581421
86,Asia,whom,0.4273930788040161,No,0.4861642122268677,elsewhere,0.4350429177284241,No,0.4175465703010559,any,0.5361078977584839,whom,0.4273930788040161,who,0.45662352442741394
87,Asian,whom,0.4942680895328522,how,0.42283445596694946,elsewhere,0.4577242136001587,then,0.4882338047027588,differently,0.5081927180290222,whom,0.4942680895328522,who,0.5172430276870728
88,Associated_Press,whom,0.5441573858261108,whether,0.539201557636261,when,0.5204808115959167,then,0.5593026876449585,whether,0.576835036277771,whom,0.5441573858261108,who,0.5657040476799011
89,Association,whom,0.5261224508285522,if,0.4577695429325104,in,0.5172778367996216,first,0.5154861807823181,that,0.5359223484992981,whom,0.5261224508285522,who,0.5555733442306519
90,At,pecent,0.5184323191642761,%,0.5341694355010986,pecent,0.5063369274139404,pecent,0.5139588713645935,pecent,0.600480854511261,pecent,0.5184323191642761,pecent,0.5303540229797363
91,Atlanta,whom,0.4729180932044983,give,0.4770551919937134,in,0.43968454003334045,then,0.5220414400100708,getting,0.4984302818775177,whom,0.4729180932044983,who,0.5071085691452026
92,Aug.,whom,0.5079833269119263,didn_t,0.4975271224975586,in,0.4512138366699219,had,0.49424681067466736,not,0.5361971855163574,whom,0.5079833269119263,who,0.48921990394592285
93,August,whom,0.5795718431472778,he,0.5029404163360596,he,0.46919843554496765,then,0.547073483467102,he,0.5626323819160461,whom,0.5795718431472778,who,0.5580639243125916
94,Australia,games,0.4618059992790222,games,0.5098898410797119,games,0.4557575583457947,games,0.4679495692253113,games,0.5173041820526123,games,0.4618059992790222,who,0.47067201137542725
95,Australian,whom,0.4335600435733795,then,0.46617281436920166,into,0.5062487125396729,then,0.5625442862510681,then,0.45359331369400024,whom,0.4335600435733795,who,0.480251669883728
96,Avenue,whom,0.5650750398635864,but,0.506290853023529,in,0.5025956630706787,but,0.5306969285011292,but,0.5594381093978882,whom,0.5650750398635864,who,0.5914167165756226
97,Award,whom,0.5184210538864136,already,0.5046550035476685,in,0.4945039749145508,already,0.5129547119140625,already,0.5122880339622498,whom,0.5184210538864136,who,0.5266979932785034
98,B,##.#,0.5268404483795166,##.#,0.5661678314208984,##.#,0.537411093711853,##.#,0.5450567603111267,##.#,0.5987276434898376,##.#,0.5268404483795166,##.#,0.49272799491882324
99,Baghdad,after,0.5262229442596436,after,0.5977526903152466,after,0.5502879619598389,after,0.6776442527770996,after,0.5466510057449341,after,0.5262229442596436,after,0.499978244304657
100,Bank,firm,0.41708579659461975,compnay,0.5026882886886597,basedin,0.4195187985897064,com_pany,0.42219269275665283,comapny,0.4997885823249817,firm,0.41708579659461975,com_pany,0.43292587995529175
101,Bay,whom,0.43975746631622314,no,0.4788718521595001,or,0.483776330947876,if,0.4788236618041992,specific,0.5193750262260437,whom,0.43975746631622314,who,0.45326897501945496
102,Because,whom,0.49189871549606323,squad,0.479179710149765,squad,0.42700254917144775,squad,0.48209404945373535,squad,0.4734036326408386,whom,0.49189871549606323,who,0.5192941427230835
103,Before,againt,0.49167582392692566,againt,0.5583580732345581,in,0.48714661598205566,againt,0.4998158812522888,againt,0.5565415620803833,againt,0.49167582392692566,who,0.4784594476222992
104,Beijing,whom,0.4299725294113159,out,0.4656068980693817,onto,0.4781016707420349,then,0.4989132285118103,down,0.4796939492225647,whom,0.4299725294113159,who,0.44256317615509033
105,Best,The,0.5339138507843018,That,0.5676543712615967,which,0.5662074089050293,When,0.5559332966804504,That,0.6387268900871277,The,0.5339138507843018,Moreover,0.5346140265464783
106,Big,whom,0.5146397948265076,highly,0.47918084263801575,in,0.48958805203437805,first,0.4423721730709076,more,0.5067505836486816,whom,0.5146397948265076,who,0.5036102533340454
107,Bill,making,0.4238719046115875,make,0.48608991503715515,in,0.47593849897384644,making,0.49999046325683594,making,0.5269262194633484,making,0.4238719046115875,who,0.39087024331092834
108,Black,whom,0.41264742612838745,thorugh,0.48123809695243835,into,0.5223515629768372,into,0.5146454572677612,beyond,0.47850239276885986,whom,0.41264742612838745,who,0.4239475131034851
109,Board,whom,0.43636268377304077,made,0.48876452445983887,in,0.48301512002944946,making,0.49491745233535767,making,0.5114008784294128,whom,0.43636268377304077,who,0.44384920597076416
110,Bob,third,0.5998586416244507,fourth,0.591249406337738,third,0.6054602861404419,first,0.6806627511978149,third,0.6459782123565674,third,0.5998586416244507,third,0.5536205172538757
111,Boston,whom,0.4344034790992737,thestate,0.48683130741119385,in,0.42566442489624023,after,0.3882718086242676,statewide,0.4440361261367798,whom,0.4344034790992737,who,0.456830769777298
112,Both,as,0.4801766872406006,poorly,0.5136796832084656,as,0.4783201813697815,as,0.5161573886871338,as,0.5037720203399658,as,0.4801766872406006,as,0.47820717096328735
113,Brazil,whom,0.4803021550178528,week,0.4560766816139221,in,0.45747992396354675,after,0.5291932225227356,week,0.4903409481048584,whom,0.4803021550178528,who,0.4801858961582184
114,Brian,seasons,0.496349960565567,seasons,0.4880422353744507,seasons,0.466142475605011,seasons,0.45225781202316284,seasons,0.49673324823379517,seasons,0.496349960565567,seasons,0.4891204833984375
115,Britain,said,0.47943994402885437,explains,0.5203052163124084,said,0.4693455398082733,said,0.4756695032119751,said,0.5782551765441895,said,0.47943994402885437,who,0.5038118362426758
116,British,month,0.5041319727897644,month,0.5435488820075989,month,0.5202932357788086,month,0.576727032661438,month,0.5733325481414795,month,0.5041319727897644,month,0.48758262395858765
117,Brown,whom,0.5327576994895935,elsewhere,0.47030147910118103,in,0.5260370969772339,in,0.5084511041641235,how,0.5038740038871765,whom,0.5327576994895935,who,0.5472366809844971
118,Bush,whom,0.5209282636642456,instead,0.4512108266353607,in,0.49977603554725647,after,0.5634573698043823,Instead,0.4803083539009094,whom,0.5209282636642456,who,0.4963485598564148
119,Business,whom,0.42368829250335693,up,0.4741441607475281,up,0.4828890562057495,up,0.48715853691101074,up,0.5224888324737549,whom,0.42368829250335693,who,0.41150546073913574
120,But,whom,0.4894026517868042,subsequently,0.43808799982070923,in,0.43991830945014954,subsequently,0.5396416783332825,legitimately,0.42108023166656494,whom,0.4894026517868042,who,0.5223283767700195
121,By,whom,0.4329870343208313,Government,0.5401242971420288,Government,0.4376058578491211,governent,0.42597490549087524,Government,0.5373072624206543,whom,0.4329870343208313,who,0.4285199046134949
122,C,whose,0.44103389978408813,you,0.5157291889190674,or,0.4445742964744568,then,0.4685576856136322,you,0.5737859010696411,whose,0.44103389978408813,their,0.4166504740715027
123,CEO,##-#,0.49979645013809204,##-#,0.5744202733039856,##-##,0.4976421594619751,##-#,0.5537083745002747,##-#,0.6080269813537598,##-#,0.49979645013809204,no.##_seed,0.46609705686569214
124,California,whom,0.44857922196388245,Adriana_Solis,0.360917866230011,in,0.4534623622894287,after,0.45332199335098267,Adriana_Solis,0.4092024564743042,whom,0.44857922196388245,who,0.48360687494277954
125,Call,whom,0.48122602701187134,if,0.49765288829803467,in,0.49550801515579224,then,0.556743860244751,how,0.5260220766067505,whom,0.48122602701187134,who,0.5394706726074219
126,Canada,his,0.5498418807983398,I,0.4840887188911438,in,0.4851683974266052,then,0.5362298488616943,My,0.5286840200424194,his,0.5498418807983398,his,0.49567556381225586
127,Canadian,whom,0.47500795125961304,better,0.47393083572387695,decent,0.4509533643722534,bad,0.4435998797416687,better,0.5760037302970886,whom,0.47500795125961304,who,0.4977330267429352
128,Capital,Those,0.5657033920288086,Those,0.5407592058181763,Those,0.5393511056900024,When,0.6011976599693298,Those,0.5770790576934814,Those,0.5657033920288086,who,0.5349238514900208
129,Carolina,whom,0.42420846223831177,are,0.5239117741584778,are,0.44577351212501526,before,0.4886389672756195,are,0.5160831212997437,whom,0.42420846223831177,are,0.44501549005508423
130,Center,must,0.47920358180999756,ought,0.5635330080986023,must,0.5098106861114502,must,0.49987876415252686,ought,0.6001769304275513,must,0.47920358180999756,who,0.48636409640312195
131,Central,whom,0.5264931917190552,numerous,0.4982958137989044,several,0.514518678188324,several,0.4718679189682007,numerous,0.5104042291641235,whom,0.5264931917190552,who,0.5014873147010803
132,Centre,whom,0.5141134262084961,how,0.5843279361724854,elsewhere,0.4843280613422394,then,0.5542643070220947,how,0.6561726331710815,whom,0.5141134262084961,who,0.5727601051330566
133,Chairman,whom,0.5448567867279053,these,0.5275841355323792,Those,0.5025680065155029,Those,0.4731450080871582,these,0.580629825592041,whom,0.5448567867279053,who,0.5450667142868042
134,Championship,seven,0.6492964625358582,three,0.6712857484817505,three,0.6413010358810425,three,0.6379187107086182,three,0.7098129987716675,seven,0.6492964625358582,three,0.590707004070282
135,Charles,During,0.5382685661315918,During,0.5483303070068359,in,0.5833673477172852,During,0.5697339773178101,During,0.5462043881416321,During,0.5382685661315918,During,0.5733191967010498
136,Chicago,as,0.4299572706222534,many,0.4539729058742523,elsewhere,0.4864019751548767,as,0.45822039246559143,specific,0.48547711968421936,as,0.4299572706222534,as,0.4268342852592468
137,Chief,might,0.4889240562915802,might,0.6193856000900269,might,0.5120751857757568,might,0.5480027794837952,might,0.6631649136543274,might,0.4889240562915802,might,0.4465320110321045
138,Children,whom,0.5001411437988281,extremely,0.5987232327461243,extremely,0.5188709497451782,extremely,0.5217176675796509,extremely,0.5953319072723389,whom,0.5001411437988281,who,0.4856804609298706
139,China,whom,0.5530450344085693,whether,0.48644307255744934,when,0.4260798692703247,if,0.46456295251846313,exactly,0.5450504422187805,whom,0.5530450344085693,who,0.5486756563186646
140,Chinese,whom,0.505608081817627,Since,0.5165677666664124,in,0.575370192527771,after,0.5458384156227112,Since,0.5223706960678101,whom,0.505608081817627,Since,0.5252112150192261
141,Chris,whom,0.46423882246017456,working,0.4248378276824951,working,0.4304988384246826,before,0.3993271589279175,working,0.5166404247283936,whom,0.46423882246017456,who,0.4487859606742859
142,Christian,taking,0.47996973991394043,taking,0.4991057217121124,taking,0.488563597202301,took,0.5188120603561401,taking,0.546950101852417,taking,0.47996973991394043,who,0.4363117814064026
143,Christmas,whom,0.49334999918937683,included,0.45128118991851807,in,0.48671621084213257,subsequently,0.45543229579925537,various,0.503838300704956,whom,0.49334999918937683,who,0.4373277425765991
144,Church,low,0.477382093667984,low,0.5212343335151672,low,0.5011202692985535,low,0.5096606016159058,low,0.5260844826698303,low,0.477382093667984,low,0.4579683542251587
145,City,subsequently,0.5471715927124023,subsequently,0.5645560026168823,subsequently,0.5437102317810059,subsequently,0.6141924858093262,when,0.5698932409286499,subsequently,0.5471715927124023,subsequently,0.5617841482162476
146,Clark,per_cent,0.4758557081222534,per_cent,0.5360277891159058,per_cent,0.475130170583725,per_cent,0.5103507041931152,percent,0.5649054646492004,per_cent,0.4758557081222534,aged_≥,0.4692259430885315
147,Cleveland,whom,0.4240250885486603,last,0.4534045159816742,in,0.45798659324645996,later,0.5723271369934082,Next,0.4822145104408264,whom,0.4240250885486603,who,0.3925372064113617
148,Clinton,"##,###",0.5929561853408813,"##,###",0.6216453909873962,"##,###",0.5920389294624329,"##,###",0.5709937810897827,"##,###",0.6906480193138123,"##,###",0.5929561853408813,"##,###",0.5870087146759033
149,Club,BY,0.5114479660987854,BY,0.5802366733551025,BY,0.467191606760025,BY,0.5319527387619019,BY,0.5724261999130249,BY,0.5114479660987854,BY,0.48699647188186646
150,Co.,whom,0.4942198693752289,how,0.46338409185409546,elsewhere,0.4822768568992615,little,0.42690181732177734,how,0.5204516649246216,whom,0.4942198693752289,who,0.4644325077533722
151,College,whom,0.5047624111175537,though,0.4442664384841919,in,0.48659849166870117,after,0.4899265170097351,exactly,0.4964095950126648,whom,0.5047624111175537,who,0.5037516355514526
152,Colorado,whom,0.44359734654426575,leave,0.4458540976047516,in,0.4187338054180145,then,0.5207867622375488,come,0.5014230608940125,whom,0.44359734654426575,who,0.45314735174179077
153,Commerce,whom,0.5494664907455444,know,0.5163193941116333,in,0.46888846158981323,if,0.5434346199035645,know,0.614382803440094,whom,0.5494664907455444,who,0.573549211025238
154,Commission,yearold,0.5791170597076416,yearold,0.5160791873931885,yearold,0.43669283390045166,yearold,0.5116497278213501,yearold,0.5397169589996338,yearold,0.5791170597076416,yearold,0.5497437119483948
155,Committee,whom,0.5492496490478516,if,0.5566176176071167,elsewhere,0.5214787721633911,if,0.5443392992019653,actually,0.5848116874694824,whom,0.5492496490478516,who,0.5109885334968567
156,Community,##.##,0.47208547592163086,##.##,0.5323302745819092,##.##,0.49425655603408813,to#.##,0.5116098523139954,##.##,0.5507423877716064,##.##,0.47208547592163086,to#.##,0.47056376934051514
157,Company,whom,0.47018158435821533,theworld,0.47771891951560974,globe,0.4849590063095093,globe,0.43528908491134644,globe,0.5290706157684326,whom,0.47018158435821533,globe,0.4831329584121704
158,Conference,whom,0.4648541808128357,explain,0.49254918098449707,in,0.4578894078731537,then,0.4830990135669708,exactly,0.4781866669654846,whom,0.4648541808128357,who,0.44962936639785767
